confidence_type,participant,bias_source,data,type
concurrent,S007,mullerlyer,confidence,non-sign
concurrent,S025,mullerlyer,confidence,non-sign
concurrent,S038,mullerlyer,confidence,non-sign
concurrent,S053,mullerlyer,confidence,non-sign
concurrent,S065,mullerlyer,confidence,non-sign
concurrent,S073,mullerlyer,confidence,non-sign
concurrent,S004,mullerlyer,confidence,non-sign
concurrent,S039,baserate,confidence,non-sign
concurrent,S110,baserate,confidence,non-sign
delayed,S128,baserate,confidence,non-sign
delayed,S135,mullerlyer,confidence,non-sign
delayed,S158,baserate,confidence,non-sign
delayed,S172,mullerlyer,confidence,non-sign
delayed,S177,baserate,confidence,non-sign
delayed,S178,payoff,confidence,non-sign
delayed,S182,mullerlyer,confidence,non-sign
delayed,S187,payoff,confidence,non-sign
delayed,S188,mullerlyer,confidence,non-sign
delayed,S191,baserate,confidence,non-sign
delayed,S204,mullerlyer,confidence,non-sign
delayed,S219,payoff,confidence,non-sign
delayed,S231,baserate,confidence,non-sign
delayed,S234,mullerlyer,confidence,non-sign
delayed,S237,mullerlyer,confidence,non-sign
delayed,S241,baserate,confidence,non-sign
delayed,S245,baserate,confidence,non-sign
concurrent,S007,mullerlyer,confidence,flip_sign
concurrent,S053,mullerlyer,confidence,flip_sign
concurrent,S056,mullerlyer,confidence,flip_sign
concurrent,S073,mullerlyer,confidence,flip_sign
concurrent,S039,baserate,confidence,flip_sign
concurrent,S086,baserate,confidence,flip_sign
concurrent,S110,baserate,confidence,flip_sign
delayed,S135,mullerlyer,confidence,flip_sign
delayed,S157,mullerlyer,confidence,flip_sign
delayed,S177,baserate,confidence,flip_sign
delayed,S182,mullerlyer,confidence,flip_sign
delayed,S187,payoff,confidence,flip_sign
delayed,S195,mullerlyer,confidence,flip_sign
delayed,S211,mullerlyer,confidence,flip_sign
delayed,S225,baserate,confidence,flip_sign
delayed,S231,baserate,confidence,flip_sign
delayed,S234,mullerlyer,confidence,flip_sign
delayed,S241,baserate,confidence,flip_sign
delayed,S245,baserate,confidence,flip_sign
concurrent,S065,mullerlyer,reproduction,non-sign
concurrent,S006,baserate,reproduction,non-sign
delayed,S128,baserate,reproduction,non-sign
delayed,S174,baserate,reproduction,non-sign
delayed,S189,baserate,reproduction,non-sign
delayed,S193,baserate,reproduction,non-sign
delayed,S174,baserate,reproduction,flip_sign
